Category,States/UT's,Districts,No. of CSCs,Female,Male,General,OBC,SC,ST,Total,Cases per CSC
Case Registered,Madhya Pradesh,Alirajpur,288,20917,16383,6018,12813,11676,6793,37300,
Case Registered,Madhya Pradesh,Anuppur,277,15663,10321,2829,8725,8318,6112,25984,
Case Registered,Madhya Pradesh,Ashoknagar,328,11917,8610,2343,7826,7441,2917,20527,
Case Registered,Madhya Pradesh,Balaghat,688,9285,13068,3999,6777,9076,2501,22353,
Case Registered,Madhya Pradesh,Barwani,409,9137,17095,5311,7739,11025,2157,26232,
Case Registered,Madhya Pradesh,Betul,554,3062,5002,569,3982,2024,1489,8064,
Case Registered,Madhya Pradesh,Bhind,439,1509,2774,800,2259,1002,222,4283,
Case Registered,Madhya Pradesh,Bhopal,208,3377,3899,563,1533,1251,3929,7276,
Case Registered,Madhya Pradesh,Burhanpur,167,441,538,99,417,309,154,979,
Case Registered,Madhya Pradesh,Chhatarpur,558,18363,80487,11241,35945,46092,5572,98850,
Case Registered,Madhya Pradesh,Chhindwara,786,5840,12955,915,11538,3099,3243,18795,
Case Registered,Madhya Pradesh,Damoh,461,15486,64590,6308,34444,26741,12583,80076,
Case Registered,Madhya Pradesh,Datia,290,11800,14282,1041,6394,13723,4924,26082,
Case Registered,Madhya Pradesh,Dewas,495,3976,8188,1671,4566,5041,886,12164,
Case Registered,Madhya Pradesh,Dhar,760,8440,12810,3121,3589,12940,1600,21250,
Case Registered,Madhya Pradesh,Dindori,364,7202,9381,1449,5025,5165,4944,16583,
Case Registered,Madhya Pradesh,Guna,421,12853,26415,3869,12523,20672,2204,39268,
Case Registered,Madhya Pradesh,Gwalior,258,4184,5698,1001,3891,3742,1248,9882,
Case Registered,Madhya Pradesh,Harda,210,972,7225,3671,1415,2338,773,8197,
Case Registered,Madhya Pradesh,Hoshangabad,420,1894,3049,675,1959,871,1438,4943,
Case Registered,Madhya Pradesh,Indore,323,666,1618,481,1086,594,123,2284,
Case Registered,Madhya Pradesh,Jabalpur,522,2606,9252,219,1204,8591,1844,11858,
Case Registered,Madhya Pradesh,Jhabua,375,815,1583,313,277,1470,338,2398,
Case Registered,Madhya Pradesh,Katni,407,1634,3828,741,2239,1324,1158,5462,
Case Registered,Madhya Pradesh,Khandwa (East Nimar),419,2892,18560,1877,6811,5091,7673,21452,
Case Registered,Madhya Pradesh,Khargone,590,6023,7160,274,949,11262,698,13183,
Case Registered,Madhya Pradesh,Mandla,487,1192,4163,233,2301,1209,1612,5355,
Case Registered,Madhya Pradesh,Mandsaur,449,1641,5646,1169,2554,3117,447,7287,
Case Registered,Madhya Pradesh,Morena,478,4830,2881,907,4638,1800,366,7711,
Case Registered,Madhya Pradesh,Narsinghpur,447,980,2223,231,905,1902,165,3203,
Case Registered,Madhya Pradesh,Neemuch,237,741,1505,250,1157,704,135,2246,
Case Registered,Madhya Pradesh,Niwari,136,552,1865,187,1627,505,98,2417,
Case Registered,Madhya Pradesh,Panna,386,9615,24297,2484,7596,20734,3098,33912,
Case Registered,Madhya Pradesh,Raisen,499,11717,13549,662,13564,3992,7048,25266,
Case Registered,Madhya Pradesh,Rajgarh,622,8005,18272,2639,12904,8197,2537,26277,
Case Registered,Madhya Pradesh,Ratlam,418,960,4098,1752,1418,1400,488,5058,
Case Registered,Madhya Pradesh,Rewa,820,12402,28101,9499,10485,17721,2798,40503,
Case Registered,Madhya Pradesh,Sagar,743,5713,17727,2022,13702,5836,1880,23440,
Case Registered,Madhya Pradesh,Satna,694,16120,35251,11549,19678,17383,2761,51371,
Case Registered,Madhya Pradesh,Sehore,515,9197,7639,1004,975,6497,8360,16836,
Case Registered,Madhya Pradesh,Seoni,635,4902,14669,1749,10359,2887,4576,19571,
Case Registered,Madhya Pradesh,Shahdol,390,2164,4658,799,1443,2219,2361,6822,
Case Registered,Madhya Pradesh,Shajapur,338,1417,1884,488,1659,976,178,3301,
Case Registered,Madhya Pradesh,Sheopur,230,1191,2096,162,880,1332,913,3287,
Case Registered,Madhya Pradesh,Shivpuri,588,2931,6981,526,2647,5576,1163,9912,
Case Registered,Madhya Pradesh,Sidhi,400,5836,8925,1954,4841,5129,2837,14761,
Case Registered,Madhya Pradesh,Singrauli,310,7739,66944,13257,41096,9729,10601,74683,
Case Registered,Madhya Pradesh,Tikamgarh,324,3876,15741,891,11536,5839,1351,19617,
Case Registered,Madhya Pradesh,Ujjain,609,6505,9129,1008,4679,1537,8410,15634,
Case Registered,Madhya Pradesh,Umaria,232,3515,3425,740,2117,809,3274,6940,
Case Registered,Madhya Pradesh,Vidisha,573,24581,45424,4942,20518,19973,24572,70005,
Case Registered,Madhya Pradesh,Mauganj,1,25,47,2,43,21,6,72,
Case Registered,Madhya Pradesh,Maihar,1,0,0,0,0,0,0,0,
Case Registered,Madhya Pradesh,Pandhurna,1,0,0,0,0,0,0,0,
Case Registered,Maharashtra,Ahemadnagar,1319,15657,20792,7848,6994,17055,4552,36449,
Case Registered,Maharashtra,Akola,534,13298,13370,5035,4967,14052,2614,26668,
Case Registered,Maharashtra,Amravati,841,10639,8468,2633,4414,8962,3098,19107,
Case Registered,Maharashtra,Aurangabad (Maharashtra),867,13947,16631,14057,5335,8503,2683,30578,
Case Registered,Maharashtra,Beed,1030,9220,31044,9918,6840,19175,4331,40264,
Case Registered,Maharashtra,Bhandara,540,8933,12256,2261,6815,9501,2612,21189,
Case Registered,Maharashtra,Buldana,872,991,3001,591,813,1036,1552,3992,
Case Registered,Maharashtra,Chandrapur,828,3646,6860,1880,1484,3796,3346,10506,
Case Registered,Maharashtra,Dhule,548,4708,6294,678,664,2303,7357,11002,
Case Registered,Maharashtra,Gadchiroli,459,13634,30193,4474,8039,15073,16241,43827,
Case Registered,Maharashtra,Gondia,547,13686,38212,10586,13214,17971,10127,51898,
Case Registered,Maharashtra,Hingoli,563,1167,4262,2451,910,1283,785,5429,
Case Registered,Maharashtra,Jalgaon,1155,3262,4492,1886,1251,3383,1234,7754,
Case Registered,Maharashtra,Jalna,779,2694,9931,2981,1321,6023,2300,12625,
Case Registered,Maharashtra,Kolhapur,1027,15972,13121,12397,4688,8601,3407,29093,
Case Registered,Maharashtra,Latur,785,847,1184,666,329,489,547,2031,
Case Registered,Maharashtra,Mumbai,157,854,506,223,336,770,31,1360,
Case Registered,Maharashtra,Mumbai Suburban,251,167,214,114,66,201,0,381,
Case Registered,Maharashtra,Nagpur,769,1947,4974,1738,1692,2641,850,6921,
Case Registered,Maharashtra,Nanded,1144,2757,3679,1561,1308,2355,1212,6436,
Case Registered,Maharashtra,Nandurbar,600,12554,25531,2555,3598,8417,23515,38085,
Case Registered,Maharashtra,Nashik,1287,16500,18631,1830,3044,13429,16828,35131,
Case Registered,Maharashtra,Osmanabad,622,15957,52309,18888,12814,29223,7341,68266,
Case Registered,Maharashtra,Palghar,472,2844,2993,4605,437,710,85,5837,
Case Registered,Maharashtra,Parbhani,704,1592,20318,3011,1415,12599,4885,21910,
Case Registered,Maharashtra,Pune,1306,4691,17878,8134,3432,7789,3214,22569,
Case Registered,Maharashtra,Raigad,809,6479,15603,7412,5420,7754,1496,22082,
Case Registered,Maharashtra,Ratnagiri,845,2236,12905,4334,1818,7185,1804,15141,
Case Registered,Maharashtra,Sangli,692,8757,13650,12235,1691,7138,1343,22407,
Case Registered,Maharashtra,Satara,1419,7373,12153,13362,1863,3649,652,19526,
Case Registered,Maharashtra,Sindhudurg,431,507,784,199,253,645,194,1291,
Case Registered,Maharashtra,Solapur,1029,14835,16090,15138,10838,4469,480,30925,
Case Registered,Maharashtra,Thane,431,2145,4045,1240,573,1387,2990,6190,
Case Registered,Maharashtra,Wardha,519,6244,3363,139,846,5846,2776,9607,
Case Registered,Maharashtra,Washim,491,22908,84655,11852,18288,63193,14230,107563,
Case Registered,Maharashtra,Yavatmal,1203,2195,2961,949,1045,2055,1107,5156,
Case Registered,Manipur,Bishnupur,22,128,154,69,149,58,6,282,
Case Registered,Manipur,Chandel,2,46,59,30,36,25,14,105,
Case Registered,Manipur,Churachandpur,3,41,19,3,8,32,17,60,
Case Registered,Manipur,Imphal East,46,28,52,30,30,12,8,80,
Case Registered,Manipur,Imphal West,31,58,201,80,137,31,11,259,
Case Registered,Manipur,Jiribam,6,6,0,0,6,0,0,6,
Case Registered,Manipur,Kakching,17,4,0,0,4,0,0,4,
Case Registered,Manipur,Kamjong,4,0,0,0,0,0,0,0,
Case Registered,Manipur,Kangpokpi,2,0,0,0,0,0,0,0,
Case Registered,Manipur,Noney,1,0,0,0,0,0,0,0,
Case Registered,Manipur,Pherzawl,1,0,0,0,0,0,0,0,
Case Registered,Manipur,Senapati,1,1,8,8,1,0,0,9,
Case Registered,Manipur,Tamenglong,2,25,73,5,41,0,52,98,
Case Registered,Manipur,Tengnoupal,1,0,0,0,0,0,0,0,
Case Registered,Manipur,Thoubal,24,83,86,25,91,21,32,169,
Case Registered,Manipur,Ukhrul,2,167,263,0,67,1,362,430,
Case Registered,Meghalaya,East Garo Hills,32,707,1110,151,133,492,1041,1817,
Case Registered,Meghalaya,East Jaintia Hills,94,1016,884,45,22,150,1683,1900,
Case Registered,Meghalaya,East Khasi Hills,185,2553,3668,324,7,48,5842,6221,
Case Registered,Meghalaya,Eastern West Khasi Hills,43,307,373,7,5,40,628,680,
Case Registered,Meghalaya,North Garo Hills,301,2025,2264,129,12,53,4095,4289,
Case Registered,Meghalaya,Ri Bhoi,114,1977,2223,246,14,31,3909,4200,
Case Registered,Meghalaya,South Garo Hills,67,1204,1332,32,26,30,2448,2536,
Case Registered,Meghalaya,South West Garo Hills,138,747,1938,1542,13,140,990,2685,
Case Registered,Meghalaya,South West Khasi Hills,64,496,312,0,0,3,805,808,
Case Registered,Meghalaya,West Garo Hills,172,534,1658,528,137,102,1425,2192,
Case Registered,Meghalaya,West Jaintia Hills,118,1465,521,13,6,39,1928,1986,
Case Registered,Meghalaya,West Khasi Hills,135,1015,941,29,25,182,1720,1956,
Case Registered,Mizoram,Aizawl,71,3868,4014,474,2031,648,4729,7882,
Case Registered,Mizoram,Champhai,55,1173,1624,235,680,352,1530,2797,
Case Registered,Mizoram,Hnahthial,31,812,721,4,12,43,1474,1533,
Case Registered,Mizoram,Khawzawl,30,765,712,23,66,55,1333,1477,
Case Registered,Mizoram,Kolasib,57,3372,2692,121,350,241,5352,6064,
Case Registered,Mizoram,Lawngtlai,176,214,312,37,226,33,230,526,
Case Registered,Mizoram,Lunglei,126,2172,2459,24,202,102,4303,4631,
Case Registered,Mizoram,Mamit,100,1721,1733,210,314,75,2855,3454,
Case Registered,Mizoram,Saiha,93,295,418,133,158,44,378,713,
Case Registered,Mizoram,Saitual,40,611,323,69,114,32,719,934,
Case Registered,Mizoram,Serchhip,55,503,516,106,66,31,816,1019,
Case Registered,Nagaland,Dimapur,142,3146,3565,333,245,456,5677,6711,
Case Registered,Nagaland,Kiphire,83,1849,1985,279,2,76,3477,3834,
Case Registered,Nagaland,Kohima,61,893,464,19,22,40,1276,1357,
Case Registered,Nagaland,Longleng,54,118,69,29,30,59,69,187,
Case Registered,Nagaland,Mokokchung,115,251,417,17,3,16,632,668,
Case Registered,Nagaland,Mon,166,3117,4544,56,228,146,7231,7661,
Case Registered,Nagaland,Noklak,16,0,3,0,1,0,2,3,
Case Registered,Nagaland,Peren,113,1069,1580,20,10,52,2567,2649,
Case Registered,Nagaland,Phek,63,231,184,0,0,7,408,415,
Case Registered,Nagaland,Tuensang,75,811,1028,15,7,17,1800,1839,
Case Registered,Nagaland,Wokha,155,256,404,1,0,2,657,660,
Case Registered,Nagaland,Zunheboto,191,727,1008,268,41,43,1383,1735,
Case Registered,Nagaland,Chumoukedima,1,0,0,0,0,0,0,0,
Case Registered,Nagaland,Niuland,1,0,0,0,0,0,0,0,
Case Registered,Nagaland,Shamator,1,0,0,0,0,0,0,0,
Case Registered,Nagaland,Tseminyu,1,0,0,0,0,0,0,0,
Case Registered,Odisha,Anugul,225,10651,5180,5579,3670,5789,793,15831,
Case Registered,Odisha,Balangir,318,16068,25711,3452,12136,15450,10741,41779,
Case Registered,Odisha,Baleshwar,360,4657,5392,3282,3120,2609,1038,10049,
Case Registered,Odisha,Bargarh,253,2543,2273,473,2312,1310,721,4816,
Case Registered,Odisha,Baudh,69,802,3752,369,2664,993,528,4554,
Case Registered,Odisha,Bhadrak,218,6198,11962,10775,3856,3208,321,18160,
Case Registered,Odisha,Cuttack,374,7260,17612,9237,8236,5298,2101,24872,
Case Registered,Odisha,Debagarh,70,622,826,265,481,232,470,1448,
Case Registered,Odisha,Dhenkanal,211,17152,14922,6758,4741,14095,6480,32074,
Case Registered,Odisha,Gajapati,149,1966,4231,1832,583,1325,2457,6197,
Case Registered,Odisha,Ganjam,503,1490,1574,255,926,1280,603,3064,
Case Registered,Odisha,Jagatsinghapur,198,1761,3854,3335,1048,1208,24,5615,
Case Registered,Odisha,Jajapur,311,3221,6338,3864,3166,1690,839,9559,
Case Registered,Odisha,Jharsuguda,78,347,2669,943,1229,412,432,3016,
Case Registered,Odisha,Kalahandi,310,12022,20348,1036,9422,10676,11236,32370,
Case Registered,Odisha,Kandhamal,171,3437,8256,746,1453,3698,5796,11693,
Case Registered,Odisha,Kendrapara,249,7045,5974,932,5234,6641,212,13019,
Case Registered,Odisha,Kendujhar,297,4900,13294,1870,2874,6072,7378,18194,
Case Registered,Odisha,Khordha,190,1595,2284,1808,902,993,176,3879,
Case Registered,Odisha,Koraput,240,2396,6942,2428,368,2847,3695,9338,
Case Registered,Odisha,Malkangiri,111,7405,26736,955,191,22027,10968,34141,
Case Registered,Odisha,Mayurbhanj,402,5429,13491,7404,2799,3185,5532,18920,
Case Registered,Odisha,Nabarangpur,189,1022,3074,266,337,735,2758,4096,
Case Registered,Odisha,Nayagarh,194,1458,4608,725,3767,1219,355,6066,
Case Registered,Odisha,Nuapada,131,2039,8184,323,5827,1592,2481,10223,
Case Registered,Odisha,Puri,268,1427,2308,1303,679,1438,315,3735,
Case Registered,Odisha,Rayagada,182,2118,5169,136,114,2854,4183,7287,
Case Registered,Odisha,Sambalpur,138,1389,4054,601,1477,861,2504,5443,
Case Registered,Odisha,Sonepur,109,3153,13173,565,5387,8820,1554,16326,
Case Registered,Odisha,Sundargarh,279,1668,3012,506,1525,1622,1027,4680,
Case Registered,Puducherry,Karaikal,12,227,267,167,193,127,7,494,
Case Registered,Puducherry,Mahe,5,42,32,3,7,64,0,74,
Case Registered,Puducherry,Puducherry,75,872,1694,393,1270,861,42,2566,
Case Registered,Puducherry,Yanam,6,18,18,0,2,34,0,36,
Case Registered,Punjab,Amritsar,859,4707,5566,4090,2440,3234,509,10273,
Case Registered,Punjab,Bathinda,318,4422,2595,3048,1205,2510,254,7017,
Case Registered,Punjab,Burnala,175,2500,1677,1376,1093,1417,291,4177,
Case Registered,Punjab,Faridkot,243,5616,6159,4063,1112,6194,406,11775,
Case Registered,Punjab,Fatehgarh Sahib,427,4449,2628,1340,878,3053,1806,7077,
Case Registered,Punjab,Fazilka,454,7449,14926,3008,1864,17240,263,22375,
Case Registered,Punjab,Firozepur,807,31786,92688,25099,2602,94383,2390,124474,
Case Registered,Punjab,Gurdaspur,1268,3921,9148,5764,3016,3937,352,13069,
Case Registered,Punjab,Hoshiarpur,1405,580,877,480,277,670,30,1457,
Case Registered,Punjab,Jalandhar,890,5217,3780,4009,1254,3354,380,8997,
Case Registered,Punjab,Kapurthala,545,5124,4731,845,238,991,7781,9855,
Case Registered,Punjab,Ludhiana,939,1397,4336,1389,556,3741,47,5733,
Case Registered,Punjab,Malerkotla,174,122,691,61,534,214,4,813,
Case Registered,Punjab,Mansa,244,2033,2352,1552,154,2557,122,4385,
Case Registered,Punjab,Moga,340,5461,9078,4610,1327,8483,119,14539,
Case Registered,Punjab,Mohali (S.A.S Nagar),332,2929,2896,1511,1264,2873,177,5825,
Case Registered,Punjab,Muktsar (Sri Muktasar Sahib),269,728,1664,658,314,1212,208,2392,
Case Registered,Punjab,Pathankot,421,2616,4427,1708,1999,3320,16,7043,
Case Registered,Punjab,Patiala,1020,2271,3047,2063,889,2319,47,5318,
Case Registered,Punjab,Rupnagar,611,1649,2321,1711,714,1474,71,3970,
Case Registered,Punjab,Sangrur,424,1889,3739,2701,482,2175,270,5628,
Case Registered,Punjab,Shaheed Bhagat Singh Nagar,466,3448,2684,664,1022,4060,386,6132,
Case Registered,Punjab,Tarn Taran,571,3129,7060,4067,981,5092,49,10189,
Case Registered,Rajasthan,Ajmer,325,9802,13135,7294,9023,5124,1496,22937,
Case Registered,Rajasthan,Alwar,584,8788,12923,6004,6723,4734,4250,21711,
Case Registered,Rajasthan,Banswara,419,7514,10732,8617,3903,3665,2061,18246,
Case Registered,Rajasthan,Baran,235,11445,31914,7335,12209,13972,9843,43359,
Case Registered,Rajasthan,Barmer,689,17108,22107,7904,7171,19820,4320,39215,
Case Registered,Rajasthan,Bharatpur,405,18677,23647,10732,6510,21506,3576,42324,
Case Registered,Rajasthan,Bhilwara,398,2965,6469,2332,3714,2150,1238,9434,
Case Registered,Rajasthan,Bikaner,367,10481,14634,3949,7748,10095,3323,25115,
Case Registered,Rajasthan,Bundi,184,1012,8465,869,5495,1859,1254,9477,
Case Registered,Rajasthan,Chittaurgarh,299,1768,2646,628,932,2564,290,4414,
Case Registered,Rajasthan,Churu,304,1240,5410,1955,2419,1992,284,6650,
Case Registered,Rajasthan,Dausa,287,2401,3456,764,1945,2561,587,5857,
Case Registered,Rajasthan,Dholpur,191,2236,3751,1393,1468,2256,870,5987,
Case Registered,Rajasthan,Dungarpur,353,15913,13341,5267,7613,10815,5559,29254,
Case Registered,Rajasthan,Ganganagar,345,6780,8327,3476,4858,4592,2181,15107,
Case Registered,Rajasthan,Hanumangarh,269,1499,11434,2647,6931,3185,170,12933,
Case Registered,Rajasthan,Jaipur,601,7332,16203,4862,10572,6104,1997,23535,
Case Registered,Rajasthan,Jaisalmer,216,10894,4256,1754,1207,7903,4286,15150,
Case Registered,Rajasthan,Jalore,278,4074,12549,1857,12156,2018,592,16623,
Case Registered,Rajasthan,Jhalawar,253,6310,28253,5707,14261,8690,5905,34563,
Case Registered,Rajasthan,Jhunjhunu,336,2251,2653,1582,2225,828,269,4904,
Case Registered,Rajasthan,Jodhpur,625,8160,14444,4217,11573,4702,2112,22604,
Case Registered,Rajasthan,Karauli,242,15861,29926,7406,14211,14783,9387,45787,
Case Registered,Rajasthan,Kota,158,4840,12201,2517,2545,9083,2896,17041,
Case Registered,Rajasthan,Nagaur,500,32258,21430,6829,12739,23812,10308,53688,
Case Registered,Rajasthan,Pali,340,17499,16409,9626,11127,8914,4241,33908,
Case Registered,Rajasthan,Pratapgarh (Raj.),233,1063,1492,1063,1199,193,100,2555,
Case Registered,Rajasthan,Rajsamand,213,3738,5319,3249,2105,2464,1239,9057,
Case Registered,Rajasthan,Sawai Madhopur,228,2846,3650,1959,3482,587,468,6496,
Case Registered,Rajasthan,Sikar,374,2742,6403,1666,1826,4532,1121,9145,
Case Registered,Rajasthan,Sirohi,170,1338,4709,3369,1401,647,630,6047,
Case Registered,Rajasthan,Tonk,235,2142,4900,1329,2143,3137,433,7042,
Case Registered,Rajasthan,Udaipur,650,12374,12479,3752,5284,8679,7138,24853,
Case Registered,Rajasthan,Anoopgarh,10,846,497,82,392,745,124,1343,
Case Registered,Rajasthan,Balotra,4,614,426,82,312,571,75,1040,
Case Registered,Rajasthan,Beawar,1,137,115,21,70,140,21,252,
Case Registered,Rajasthan,Deeg,1,73,81,1,20,127,6,154,
Case Registered,Rajasthan,Didwana-Kuchaman,2,711,259,18,183,731,38,970,
Case Registered,Rajasthan,Dudu,1,0,0,0,0,0,0,0,
Case Registered,Rajasthan,Gangapur City,1,11,5,0,6,0,10,16,
Case Registered,Rajasthan,Jaipur Rural,1,224,31,0,13,233,9,255,
Case Registered,Rajasthan,Jodhpur (Rural),4,47,65,9,66,25,12,112,
Case Registered,Rajasthan,Kekri,1,4,13,0,11,6,0,17,
Case Registered,Rajasthan,Khairthal-Tijara,1,9,101,9,86,11,4,110,
Case Registered,Rajasthan,Kotputli- Behror,2,31,90,3,68,44,6,121,
Case Registered,Rajasthan,Neem Ka Thana,1,3,4,0,1,5,1,7,
Case Registered,Rajasthan,Phalodi,1,3,13,0,13,3,0,16,
Case Registered,Rajasthan,Sanchor,1,0,0,0,0,0,0,0,
Case Registered,Rajasthan,Shahpura,1,22,28,6,10,10,24,50,
Case Registered,Rajasthan,Slumber,1,11,1,5,0,3,4,12,
Case Registered,Sikkim,East District (Gangtok),22,487,620,248,127,660,72,1107,
Case Registered,Sikkim,North District (Mangan),25,70,108,16,37,100,25,178,
Case Registered,Sikkim,Pakyong,27,15,40,4,42,3,6,55,
Case Registered,Sikkim,Soreng,32,4,7,3,8,0,0,11,
Case Registered,Sikkim,South District (Namchi),50,172,259,47,180,69,135,431,
Case Registered,Sikkim,West District (Geyzing),29,407,651,226,429,157,246,1058,
Case Registered,Tamil Nadu,Ariyalur,201,32984,43351,14274,27311,24329,10421,76335,
Case Registered,Tamil Nadu,Chengalpattu,359,5502,2774,1887,2332,3438,619,8276,
Case Registered,Tamil Nadu,Chennai,112,2306,2289,1028,1677,1533,357,4595,
Case Registered,Tamil Nadu,Coimbatore,228,7454,3428,3638,3169,3414,661,10882,
Case Registered,Tamil Nadu,Cuddalore,683,5876,3032,3156,2485,2861,406,8908,
Case Registered,Tamil Nadu,Dharmapuri,251,3755,1411,1848,1538,1498,282,5166,
Case Registered,Tamil Nadu,Dindigul,306,1132,1408,1433,700,332,75,2540,
Case Registered,Tamil Nadu,Erode,225,2035,1445,1390,1614,316,160,3480,
Case Registered,Tamil Nadu,Kallakurichi,412,445,407,409,273,152,18,852,
Case Registered,Tamil Nadu,Kancheepuram,274,2139,1195,1652,850,782,50,3334,
Case Registered,Tamil Nadu,Kanya kumari,110,1533,1487,1975,767,204,74,3020,
Case Registered,Tamil Nadu,Karur,157,2238,3658,4074,1088,686,48,5896,
Case Registered,Tamil Nadu,Krishnagiri,333,1307,2382,1119,1421,1065,84,3689,
Case Registered,Tamil Nadu,Madurai,420,1442,3306,2000,2373,353,22,4748,
Case Registered,Tamil Nadu,Mayiladuthurai,241,244,170,134,194,78,8,414,
Case Registered,Tamil Nadu,Nagapattinam,197,1317,1269,1518,693,304,71,2586,
Case Registered,Tamil Nadu,Namakkal,321,844,875,481,673,516,49,1719,
Case Registered,Tamil Nadu,Perambalur,121,447,258,268,250,167,20,705,
Case Registered,Tamil Nadu,Pudukkottai,498,2346,1374,1998,1178,509,35,3720,
Case Registered,Tamil Nadu,Ramanathapuram,429,4623,7835,5202,5038,2139,79,12458,
Case Registered,Tamil Nadu,Ranipet,288,191,142,118,102,97,16,333,
Case Registered,Tamil Nadu,Salem,393,3065,3181,3701,1747,725,73,6246,
Case Registered,Tamil Nadu,Sivaganga,445,3000,2584,1854,3043,648,39,5584,
Case Registered,Tamil Nadu,Tenkasi,221,1047,1038,960,720,355,50,2085,
Case Registered,Tamil Nadu,Thanjavur,590,7778,4638,5186,4838,2304,88,12416,
Case Registered,Tamil Nadu,The Nilgiris    (Hq: Udhagama,35,377,435,279,365,156,12,812,
Case Registered,Tamil Nadu,Theni,130,525,956,819,366,249,47,1481,
Case Registered,Tamil Nadu,Thiruvallur,526,4683,8065,8012,1408,2056,1272,12748,
Case Registered,Tamil Nadu,Tiruchirappalli,409,9514,9292,9683,5399,3393,331,18806,
Case Registered,Tamil Nadu,Tirunelveli,204,1330,1692,650,1514,770,88,3022,
Case Registered,Tamil Nadu,Tirupathur,208,1781,3048,1857,2731,223,18,4829,
Case Registered,Tamil Nadu,Tiruppur,267,712,821,715,537,264,17,1533,
Case Registered,Tamil Nadu,Tiruvannamalai,848,6497,2934,2816,4708,1662,245,9431,
Case Registered,Tamil Nadu,Tiruvarur,430,1389,2231,750,1631,1215,24,3620,
Case Registered,Tamil Nadu,Tuticorin,403,1119,1077,1655,228,294,19,2196,
Case Registered,Tamil Nadu,Vellore,247,1955,3492,2364,2381,614,88,5447,
Case Registered,Tamil Nadu,Villupuram,588,2270,1887,3014,556,456,131,4157,
Case Registered,Tamil Nadu,Virudhunagar,450,10013,9166,7505,3149,7269,1256,19179,
Case Registered,Telangana,Adilabad,468,29442,57470,14273,34251,24518,13870,86912,
Case Registered,Telangana,BhadradriKothagudem,481,12987,5585,3212,7909,4183,3268,18572,
Case Registered,Telangana,Hanumakonda,208,2421,1465,300,1990,1362,234,3886,
Case Registered,Telangana,Hyderabad,67,2855,1794,591,2156,1288,614,4649,
Case Registered,Telangana,Jagtial,380,2016,1418,310,1873,1060,191,3434,
Case Registered,Telangana,Jangoan,276,1339,1489,406,1658,661,103,2828,
Case Registered,Telangana,Jayashankar Bhupalapally,241,337,1219,238,682,406,230,1556,
Case Registered,Telangana,Jogulamba Gadwal,255,1245,2174,690,1836,870,23,3419,
Case Registered,Telangana,Kamareddy,526,1133,2201,1568,958,730,78,3334,
Case Registered,Telangana,Karimnagar,313,4725,11133,3482,8985,2674,717,15858,
Case Registered,Telangana,Khammam,589,7637,20840,4257,15592,2055,6573,28477,
Case Registered,Telangana,Kumuram Bheem Asifabad,335,406,940,308,458,531,49,1346,
Case Registered,Telangana,Mahabubabad,461,437,890,268,436,539,84,1327,
Case Registered,Telangana,Mahbubnagar,441,1301,4749,2024,2072,1651,303,6050,
Case Registered,Telangana,Mancherial,310,88,84,34,60,65,13,172,
Case Registered,Telangana,Medak,469,7579,33420,5633,33304,1759,303,40999,
Case Registered,Telangana,MedchalMalkajgiri,61,204,317,218,175,93,35,521,
Case Registered,Telangana,Mulugu,174,334,401,26,463,137,109,735,
Case Registered,Telangana,Nagarkurnool,461,510,993,593,521,302,87,1503,
Case Registered,Telangana,Nalgonda,844,1300,4120,599,1987,1718,1116,5420,
Case Registered,Telangana,Narayanpet,280,362,862,300,737,153,34,1224,
Case Registered,Telangana,Nirmal,396,688,1833,275,734,954,558,2521,
Case Registered,Telangana,Nizamabad,530,2458,4232,1466,3008,1865,351,6690,
Case Registered,Telangana,Peddapalli,266,1129,1253,1087,1200,77,18,2382,
Case Registered,Telangana,Rajanna Sircilla,255,335,1024,128,865,338,28,1359,
Case Registered,Telangana,Rangareddi,558,1193,1857,1807,566,512,165,3050,
Case Registered,Telangana,Sangareddy,580,2188,3059,1412,1446,2040,349,5247,
Case Registered,Telangana,Siddipet,499,327,723,329,406,298,17,1050,
Case Registered,Telangana,Suryapet,475,958,1905,631,1543,567,122,2863,
Case Registered,Telangana,Vikarabad,566,1515,2839,1962,1712,557,123,4354,
Case Registered,Telangana,Wanaparthy,255,480,473,469,321,122,41,953,
Case Registered,Telangana,Warangal Rural,323,4512,11253,2495,7768,4212,1290,15765,
Case Registered,Telangana,YadadriBhuvanagiri,421,996,2389,523,310,2445,107,3385,
Case Registered,Tripura,Dhalai,150,12263,17540,1488,7031,15090,6194,29803,
Case Registered,Tripura,Gomati,173,9852,3081,1496,6825,2539,2073,12933,
Case Registered,Tripura,Khowai,124,6620,6643,2676,4275,3957,2355,13263,
Case Registered,Tripura,North Tripura,129,3345,5466,1951,2419,1910,2531,8811,
Case Registered,Tripura,Sepahijala,169,2845,4402,2639,1710,1746,1152,7247,
Case Registered,Tripura,South Tripura,166,1354,3780,1944,1381,1182,627,5134,
Case Registered,Tripura,Unakoti,91,1144,3220,2592,838,494,440,4364,
Case Registered,Tripura,West Tripura,176,4517,7952,2731,2716,2265,4757,12469,
Case Registered,Uttar Pradesh,Agra,672,18234,20877,11958,9341,16036,1776,39111,
Case Registered,Uttar Pradesh,Aligarh,700,12419,11074,4353,5971,9476,3693,23493,
Case Registered,Uttar Pradesh,Allahabad,1092,6457,7611,3853,4521,4792,902,14068,
